id_1,rede_1,nome_1,id_2,rede_2,nome_2,distancia_km,estado
189,Selfit,ALDEOTA,318,Selfit,PÁTIO DOM LUÍS,0.799,Ceará
189,Selfit,ALDEOTA,1381,Smartfit,Dionísio Torres,0.71,Ceará
189,Selfit,ALDEOTA,1382,Smartfit,Vicente Linhares,0.872,Ceará
189,Selfit,ALDEOTA,1384,Smartfit,Barbosa de Freitas,0.283,Ceará
189,Selfit,ALDEOTA,1385,Smartfit,Santos Dumont,0.793,Ceará
190,Selfit,ANANINDEUA,1399,Smartfit,Mario Covas,0.273,Pará
190,Selfit,ANANINDEUA,1806,Panobianco,ANANINDEUA – PA,0.746,Pará
193,Selfit,ANTÔNIO BASÍLIO,1344,Smartfit,Lagoa Nova,0.935,Rio Grande do Norte
196,Selfit,ARAPANÉS,619,Smartfit,Canário,0.432,São Paulo
196,Selfit,ARAPANÉS,624,Smartfit,Jamaris,0.534,São Paulo
196,Selfit,ARAPANÉS,625,Smartfit,Bem-te-vi,0.645,São Paulo
196,Selfit,ARAPANÉS,627,Smartfit,Maracatins,0.799,São Paulo
198,Selfit,ARCOVERDE,237,Selfit,CASA AMARELA,0.406,Pernambuco
198,Selfit,ARCOVERDE,352,Selfit,TAMARINEIRA,0.323,Pernambuco
198,Selfit,ARCOVERDE,1319,Smartfit,Torre,0.772,Pernambuco
198,Selfit,ARCOVERDE,1321,Smartfit,Desembargador Góis Cavalcante,0.446,Pernambuco
198,Selfit,ARCOVERDE,1322,Smartfit,Aflitos,0.594,Pernambuco
199,Selfit,ARENA DAS DUNAS,283,Selfit,LAGOA NOVA II,0.5,Rio Grande do Norte
200,Selfit,ARIRIZAL,429,BodyTech,SHOPPING DA ILHA,0.368,Maranhão
200,Selfit,ARIRIZAL,1355,Smartfit,Cohama,0.429,Maranhão
202,Selfit,ASSIS,305,Selfit,NAZARÉ,0.815,Pará
202,Selfit,ASSIS,1395,Smartfit,Boulevard,0.684,Pará
203,Selfit,ATRÁS DA BANCA,1673,Skyfit,PETROLINA (PE),0.558,Pernambuco
211,Selfit,BARÃO DE ITAMBÍ,1014,Smartfit,Bambina,0.977,Rio de Janeiro
211,Selfit,BARÃO DE ITAMBÍ,1019,Smartfit,Marquês de Abrantes,0.808,Rio de Janeiro
211,Selfit,BARÃO DE ITAMBÍ,1020,Smartfit,Senador Vergueiro,0.796,Rio de Janeiro
212,Selfit,BARRA (CHAME-CHAME),213,Selfit,BARRA HALL (ASSOC. ATLÉTICA),0.724,Bahia
214,Selfit,BARRAMAR,263,Selfit,GOLDEN SHOPPING,0.573,Maranhão
218,Selfit,BENFICA,287,Selfit,MADALENA,0.155,Pernambuco
218,Selfit,BENFICA,1316,Smartfit,Madalena,0.336,Pernambuco
219,Selfit,BERNARDO VIEIRA DE MELO,323,Selfit,PIEDADE II,0.616,Pernambuco
219,Selfit,BERNARDO VIEIRA DE MELO,1311,Smartfit,Shopping Guararapes,0.466,Pernambuco
221,Selfit,BEZERRA DE MENEZES,1376,Smartfit,North Shopping,0.562,Ceará
222,Selfit,BOA VIAGEM I,1313,Smartfit,Conselheiro Aguiar,0.917,Pernambuco
222,Selfit,BOA VIAGEM I,1458,Skyfit,BOA VIAGEM – RECIFE (PE),0.36,Pernambuco
222,Selfit,BOA VIAGEM I,2103,Panobianco,SELECT GYM BY PANOBIANCO,0.966,Pernambuco
223,Selfit,BOA VIAGEM II,437,BodyTech,SHOPPING RECIFE,0.164,Pernambuco
223,Selfit,BOA VIAGEM II,1313,Smartfit,Conselheiro Aguiar,0.518,Pernambuco
223,Selfit,BOA VIAGEM II,1314,Smartfit,Shopping Recife,0.479,Pernambuco
223,Selfit,BOA VIAGEM II,1315,Smartfit,Mix Mateus Boa Viagem,0.68,Pernambuco
223,Selfit,BOA VIAGEM II,2103,Panobianco,SELECT GYM BY PANOBIANCO,0.384,Pernambuco
225,Selfit,BOULEVARD TROPICAL,1357,Smartfit,Manhattan Center III,0.339,Maranhão
225,Selfit,BOULEVARD TROPICAL,1360,Smartfit,Holandeses Barramar,0.935,Maranhão
225,Selfit,BOULEVARD TROPICAL,1476,Skyfit,CALHAU – SÃO LUÍS (MA),0.779,Maranhão
227,Selfit,CAMARÁ SHOPPING,1477,Skyfit,CAMARAGIBE (PE),0.404,Pernambuco
228,Selfit,CAMINHO DAS ÁRVORES,268,Selfit,ILHÉUS,0.614,Bahia
228,Selfit,CAMINHO DAS ÁRVORES,428,BodyTech,SHOPPING DA BAHIA,0.689,Bahia
228,Selfit,CAMINHO DAS ÁRVORES,1254,Smartfit,Salvador Shopping,0.899,Bahia
231,Selfit,CAMPOLIM,844,Smartfit,Campolim,0.951,São Paulo
233,Selfit,CARAPICUÍBA,742,Smartfit,Centro,0.563,São Paulo
235,Selfit,CARUARU,1307,Smartfit,Shopping Difusora,0.542,Pernambuco
237,Selfit,CASA AMARELA,352,Selfit,TAMARINEIRA,0.233,Pernambuco
237,Selfit,CASA AMARELA,1321,Smartfit,Desembargador Góis Cavalcante,0.466,Pernambuco
237,Selfit,CASA AMARELA,1322,Smartfit,Aflitos,0.897,Pernambuco
238,Selfit,CASA CAIADA,239,Selfit,CASA CAIADA II,0.524,Pernambuco
238,Selfit,CASA CAIADA,1324,Smartfit,Patteo Olinda Shopping,0.106,Pernambuco
238,Selfit,CASA CAIADA,1649,Skyfit,OLINDA (PE),0.524,Pernambuco
239,Selfit,CASA CAIADA II,1324,Smartfit,Patteo Olinda Shopping,0.573,Pernambuco
239,Selfit,CASA CAIADA II,1649,Skyfit,OLINDA (PE),0.0,Pernambuco
240,Selfit,CASA FORTE,1321,Smartfit,Desembargador Góis Cavalcante,0.934,Pernambuco
240,Selfit,CASA FORTE,1501,Skyfit,CASA FORTE – RECIFE (PE),0.306,Pernambuco
242,Selfit,CIDADE JARDIM,482,Pratique Fitness,São Bento,0.759,Minas Gerais
242,Selfit,CIDADE JARDIM,1082,Smartfit,Luxemburgo,0.526,Minas Gerais
242,Selfit,CIDADE JARDIM,1084,Smartfit,Avenida Prudente de Morais,0.768,Minas Gerais
244,Selfit,COHAMA,429,BodyTech,SHOPPING DA ILHA,0.923,Maranhão
244,Selfit,COHAMA,1352,Smartfit,Atacadão São Luís,0.541,Maranhão
246,Selfit,CONDE DE BONFIM,444,BodyTech,SHOPPING TIJUCA,0.872,Rio de Janeiro
246,Selfit,CONDE DE BONFIM,445,BodyTech,TIJUCA HADDOCK LOBO,0.926,Rio de Janeiro
246,Selfit,CONDE DE BONFIM,992,Smartfit,Rua Conde de Bonfim I,0.732,Rio de Janeiro
